"IDmouse","ExpGroup","time","TVolume","lab"
"2-Trt-KO30","Trt-KO",15,1374,"Lab 2"
"2-Trt-KO31","Trt-KO",0,316,"Lab 2"
"2-Trt-KO31","Trt-KO",3,513,"Lab 2"
"2-Trt-KO31","Trt-KO",6,757,"Lab 2"
"2-Trt-KO31","Trt-KO",9,598,"Lab 2"
"2-Trt-KO31","Trt-KO",12,477,"Lab 2"
"2-Trt-KO31","Trt-KO",15,468,"Lab 2"
"2-Trt-KO32","Trt-KO",0,301,"Lab 2"
"2-Trt-KO32","Trt-KO",3,511,"Lab 2"
"2-Trt-KO32","Trt-KO",6,982,"Lab 2"
"2-Trt-KO32","Trt-KO",9,1432,"Lab 2"
"2-Trt-KO32","Trt-KO",12,1084,"Lab 2"
"2-Trt-KO32","Trt-KO",15,959,"Lab 2"
"2-Trt-KO33","Trt-KO",0,290,"Lab 2"
"2-Trt-KO33","Trt-KO",3,454,"Lab 2"
"2-Trt-KO33","Trt-KO",6,979,"Lab 2"
"2-Trt-KO33","Trt-KO",9,800,"Lab 2"
"2-Trt-KO33","Trt-KO",12,1346,"Lab 2"
"2-Trt-KO33","Trt-KO",15,926,"Lab 2"
"2-Trt-KO34","Trt-KO",0,226,"Lab 2"
"2-Trt-KO34","Trt-KO",3,266,"Lab 2"
"2-Trt-KO34","Trt-KO",6,715,"Lab 2"
"2-Trt-KO34","Trt-KO",9,587,"Lab 2"
"2-Trt-KO34","Trt-KO",12,677,"Lab 2"
"2-Trt-KO34","Trt-KO",15,614,"Lab 2"
"2-Trt-KO35","Trt-KO",0,337,"Lab 2"
"2-Trt-KO35","Trt-KO",3,897,"Lab 2"
"2-Trt-KO35","Trt-KO",6,1124,"Lab 2"
"2-Trt-KO36","Trt-KO",0,184,"Lab 2"
"2-Trt-KO36","Trt-KO",3,473,"Lab 2"
"2-Trt-KO36","Trt-KO",6,514,"Lab 2"
"2-Trt-KO36","Trt-KO",9,586,"Lab 2"
"2-Trt-KO36","Trt-KO",12,788,"Lab 2"
"2-Trt-KO36","Trt-KO",15,466,"Lab 2"
"2-Ctr-WT4","Ctr-WT",0,334,"Lab 2"
"2-Ctr-WT4","Ctr-WT",3,345,"Lab 2"
"2-Ctr-WT4","Ctr-WT",6,522,"Lab 2"
"2-Ctr-WT4","Ctr-WT",9,873,"Lab 2"
"2-Ctr-WT4","Ctr-WT",12,1352,"Lab 2"
"2-Ctr-WT4","Ctr-WT",15,723,"Lab 2"
"2-Ctr-WT5","Ctr-WT",0,209,"Lab 2"
"2-Ctr-WT5","Ctr-WT",3,386,"Lab 2"
"2-Ctr-WT5","Ctr-WT",6,615,"Lab 2"
"2-Ctr-WT5","Ctr-WT",9,739,"Lab 2"
"2-Ctr-WT5","Ctr-WT",12,1259,"Lab 2"
"2-Ctr-WT5","Ctr-WT",15,605,"Lab 2"
"2-Ctr-WT6","Ctr-WT",0,232,"Lab 2"
"2-Ctr-WT6","Ctr-WT",3,356,"Lab 2"
